"nlm","nlms"
"mrs","mr"
"email filtering","email filter"
"email filtering","email filters"
"ues","ue"
"building information model","building information models"
"building information model","building information modeling"
"building information model","building informational model"
"vectors graphic","vector graphics"
"computers forensic","computer forensics"
"fm","fms"
"muscle","muscles"
"teaching materials","teaching material"
"presynaptic terminal","presynaptic terminals"
"human resources","humans resource"
"human resources","human resource"
"protein function prediction","proteins function prediction"
"protein function prediction","protein functional prediction"
"kws","kw"
"computation photography","computational photography"
"intelligence system","intelligent system"
"degree distribution","degree distributions"
"om","oms"
"efs","ef"
"coil domain","coiled domain"
"hilberts tenth problems","hilberts tenth problem"
"hilberts tenth problems","hilbert tenth problem"
"erythrocyte","erythrocytes"
"semantic comput","semantics comput"
"semantic comput","semantic computing"
"emotions","emotion"
"user centered design","users centered design"
"darpa grand challenges","darpa grand challenge"
"chromosome aberration","chromosome aberrations"
"chromosome aberration","chromosomes aberration"
"hypospadias","hypospadia"
"informational systems success model","information systems success model"
"systems","system"
"systems","systemics"
"interactions network","interaction networks"
"interactions network","interaction network"
"social networks game","social network game"
"air conditioning","air conditional"
"air conditioning","air condition"
"transactional process","transactions process"
"transactional process","transaction processing"
"transactional process","transaction process"
"vms","vm"
"choice model","choice modell"
"choice model","choice modelling"
"research centers","research center"
"ligament","ligaments"
"hungarian algorithms","hungarian algorithm"
"hungarian algorithms","hungarian algorithmic"
"adrenergic receptor","adrenergic receptors"
"c4 5 algorithm","c4 5 algorithmic"
"c4 5 algorithm","c4 5 algorithms"
"muscles fiber","muscle fiber"
"muscles fiber","muscle fibers"
"similar","similarity"
"ketosis","ketosi"
"imperative programmer","imperative programm"
"imperative programmer","imperative programme"
"volcanic eruptions","volcanic eruption"
"glands","gland"
"cartoon","cartoons"
"causal models","causal model"
"query languages","query language"
"hybrid machine translations","hybrid machine translation"
"hybrid machine translations","hybrids machine translation"
"hybrid machine translations","hybrid machine translational"
"hybrid machine translations","hybrid machines translation"
"health science","health sciences"
"resources contention","resource contention"
"avalanches effect","avalanche effect"
"avalanches effect","avalanche effects"
"graphics","graphical"
"architectures framework","architecture framework"
"statistical regions merg","statistically region merg"
"statistical regions merg","statistical region merging"
"statistical regions merg","statistic region merg"
"statistical regions merg","statistical region merge"
"semantics web rule language","semantic web rule language"
"semantics web rule language","semantic web rule languages"
"semantics web rule language","semantic web rules language"
"sclerosis","sclerosi"
"sulfonamides","sulfonamide"
"statistical signal process","statistical signal processing"
"statistical signal process","statistic signal process"
"statistical signal process","statistically signal process"
"statistical signal process","statistical signals process"
"random samples consensu","random sample consensus"
"random samples consensu","random sample consensu"
"bender","benders"
"plasticizers","plasticity"
"plasticizers","plasticizer"
"plasticizers","plastic"
"plasticizers","plastics"
"general problem solver","general problems solver"
"node","nodes"
"electron nose","electronic nose"
"spe","spes"
"recurrence relations","recurrence relation"
"recurrence relations","recurrence relational"
"keywords extraction","keyword extraction"
"communicable disease","communicable diseases"
"renal cell carcinoma","renal cells carcinoma"
"editorial policie","editorial policies"
"aggregate function","aggregate functions"
"aggregate function","aggregate functional"
"fault trees analysi","fault tree analysis"
"menopausal symptom","menopausal symptoms"
"function data analysi","functional data analysis"
"grovers algorithmic","grovers algorithm"
"grovers algorithmic","grovers algorithms"
"translational initiation","translations initiation"
"web components","web component"
"proteases inhibitor","protease inhibitor"
"optimistic concurrency control","optimistic concurrency controls"
"vanishing gradient problem","vanishing gradient problems"
"vanishing gradient problem","vanishing gradients problem"
"marte","mart"
"marte","martes"
"duck","ducks"
"transcutaneous electric nerve stimulation","transcutaneous electrical nerves stimulation"
"transcutaneous electric nerve stimulation","transcutaneous electrical nerve stimulation"
"d programming language","d programming languages"
"phosphorus","phosphoru"
"neuron structures","neuron structure"
"neuron structures","neuron structured"
"neuron structures","neurons structure"
"foreign bodies","foreign bodie"
"ant colony optimization algorithms","ant colony optimization algorithmic"
"ant colony optimization algorithms","ant colony optimization algorithm"
"space partition","spaces partition"
"fls","fl"
"bones metabolism","bone metabolism"
"inventions","invention"
"selection genetic algorithms","selection genetic algorithm"
"selection genetic algorithms","selection genetic algorithmic"
"estrogens replacement therapy","estrogen replacement therapy"
"gps","gp"
"purines","purine"
"semantic match","semantics match"
"semantic match","semantic matching"
"pv","pvs"
"topics","topic"
"avalanche effect","avalanche effects"
"tumor necrosis","tumor necrosi"
"franci","francis"
